I(+):13327-17227	I(+):215084-218967	-
I(+):13327-17227	I(-):13327-17227	-
I(-):13327-17227	I(+):215084-218967	+
I(-):17228-21428	I(+):210671-214870	+
I(+):21429-25371	I(-):21429-25371	-
I(+):25449-27893	I(+):203478-205922	-
I(+):25449-27893	I(-):25449-27893	-
I(-):25449-27893	I(+):203478-205922	+
I(+):31539-32939	I(-):31539-32939	-
I(+):139501-141431	XII(+):95564-97485	+
I(+):187342-189566	VII(+):402912-405145	+
I(+):188514-189566	VII(+):404094-405145	+
I(+):219325-223002	VIII(+):539927-543604	+
I(+):223003-229357	I(+):223003-229358	+
I(+):223003-229357	VIII(+):549638-556029	+
I(+):223003-229357	VIII(+):549638-556030	+
I(+):223003-229358	I(+):223003-229357	+
I(+):223003-229358	VIII(+):549638-556029	+
I(+):223003-229358	VIII(+):549638-556030	+
